genes,direction
CENPK1137D_19,down
CENPK1137D_2759,up
CENPK1137D_1987,up
CENPK1137D_3890,mixed
CENPK1137D_5275,up
CENPK1137D_289,mixed
CENPK1137D_735,up
CENPK1137D_1111,mixed
CENPK1137D_2119,up
CENPK1137D_2895,up
CENPK1137D_3475,up
CENPK1137D_5153,up
CENPK1137D_558,up
CENPK1137D_3141,down
CENPK1137D_3367,up
CENPK1137D_5118,up
CENPK1137D_609,up
CENPK1137D_4560,up
CENPK1137D_730,up
CENPK1137D_4578,down
CENPK1137D_1257,up
CENPK1137D_4730,down
CENPK1137D_1129,up
CENPK1137D_340,down
CENPK1137D_2971,down
CENPK1137D_1903,up
CENPK1137D_1510,up
CENPK1137D_5399,down
CENPK1137D_2572,up
CENPK1137D_4095,down
CENPK1137D_127,down
CENPK1137D_4224,up
CENPK1137D_5446,up
CENPK1137D_4927,up
CENPK1137D_4279,down
CENPK1137D_3314,up
CENPK1137D_203,up
CENPK1137D_4858,up
CENPK1137D_290,up
CENPK1137D_2980,down
CENPK1137D_1123,down
CENPK1137D_3646,down
CENPK1137D_5104,down
CENPK1137D_3804,up
CENPK1137D_5411,down
CENPK1137D_1055,down
CENPK1137D_4180,down
CENPK1137D_2643,down
CENPK1137D_5141,up
CENPK1137D_5284,down
CENPK1137D_382,up
CENPK1137D_4500,up
CENPK1137D_1851,down
CENPK1137D_4663,up
CENPK1137D_1962,down
CENPK1137D_4185,up
CENPK1137D_3841,down
CENPK1137D_4929,down
CENPK1137D_3854,up
CENPK1137D_1993,up
CENPK1137D_4571,down
CENPK1137D_808,down
CENPK1137D_5249,up
CENPK1137D_2071,up
CENPK1137D_5006,up
CENPK1137D_699,down
CENPK1137D_2713,down
CENPK1137D_3469,up
CENPK1137D_1588,up
CENPK1137D_3368,down
CENPK1137D_1,up
CENPK1137D_597,down
CENPK1137D_1352,up
CENPK1137D_5285,down
CENPK1137D_4507,down
CENPK1137D_1498,up
CENPK1137D_4778,up
CENPK1137D_4769,down
CENPK1137D_3610,up
CENPK1137D_232,down
CENPK1137D_4894,down
CENPK1137D_3310,up
CENPK1137D_25,up
CENPK1137D_3481,down
CENPK1137D_4598,up
CENPK1137D_1572,down
CENPK1137D_4473,up
CENPK1137D_4926,down
CENPK1137D_1563,up
CENPK1137D_1521,up
CENPK1137D_4280,down
CENPK1137D_2042,down
CENPK1137D_1607,down
CENPK1137D_5134,down
CENPK1137D_5102,down
CENPK1137D_766,up
CENPK1137D_1197,up
CENPK1137D_619,down
CENPK1137D_2665,down
CENPK1137D_4887,up
CENPK1137D_1084,down
CENPK1137D_683,up
CENPK1137D_2305,down
CENPK1137D_2276,up
CENPK1137D_3095,up
CENPK1137D_1979,down
CENPK1137D_3209,up
CENPK1137D_2750,down
CENPK1137D_4035,up
CENPK1137D_4236,down
CENPK1137D_4353,up
CENPK1137D_2854,down
CENPK1137D_1877,down
CENPK1137D_5258,down
CENPK1137D_71,up
CENPK1137D_2468,down
CENPK1137D_1700,up
CENPK1137D_2696,down
CENPK1137D_1876,down
CENPK1137D_96,up
