,logFC,-log10Pval
YALI1_D00474g,-3.49681300515769,66.4204113271873
YALI1_A06099g,-2.27379631079854,32.2954649228943
YALI1_C29506g,2.20227880416227,27.5412084673844
YALI1_F37320g,2.35323611814224,25.6849650437677
YALI1_C10203g,-2.12290520424021,22.1532142603296
YALI1_E07234g,2.08670841488997,21.9661114974703
YALI1_E02481g,-2.87202351619335,20.5324161970378
YALI1_C31408g,-1.7625320086258,19.0519282251402
YALI1_E09241g,-2.2384558940073,18.609644499886
YALI1_A16292g,-1.5462024484383,17.6153758441749
YALI1_F23664g,1.74790220706257,16.6627948730604
YALI1_F38191g,1.49500078943155,16.1686396293855
YALI1_C32886g,-2.02042736161599,14.9913519161514
YALI1_B29419g,2.22121168914416,14.9913519161514
YALI1_E31005g,-3.06515681695552,13.7704271757214
YALI1_D26263g,1.55492288933345,13.5194053214654
YALI1_E27441g,1.66186172795375,13.2489176027028
YALI1_A10857g,-1.77255606435069,13.2277560443911
YALI1_B25553g,-1.99183567187214,12.8896217180086
YALI1_E36437g,-1.31608356686712,12.16255178463
YALI1_C26377g,2.39883847835972,10.9883212276827
YALI1_D13510g,-1.61877880075562,10.6934120637783
YALI1_F36733g,-2.8705596856701,10.6830214417863
YALI1_D26051g,-1.84619821405731,10.6830214417863
YALI1_D18408g,-1.16751114187452,9.86890410050577
YALI1_C30320g,-1.40426847221407,9.42366222365639
YALI1_D02444g,-1.28037532723236,8.96928618041671
YALI1_B24638g,1.25632821371867,8.79917632965142
YALI1_D31155g,-1.90305484082937,8.54173208737158
YALI1_B12409g,-1.9782693504503,8.41654395333296
YALI1_D04128g,-2.07973425414508,8.40379207672705
YALI1_F37463g,-2.03817095095413,8.37806975741577
YALI1_D12832g,-1.30944651199943,8.17038171613934
YALI1_D13545g,1.3273526852705,7.85910494395276
YALI1_C29676g,1.09917136797936,7.71521620654669
YALI1_F12138g,1.06303173160892,7.61784109989718
YALI1_F37714g,1.20918921096872,7.61784109989718
YALI1_D00888g,-1.3003729452099,7.47809843944864
YALI1_D16151g,1.09699011788966,7.32482340696555
YALI1_D10197g,-1.24200053027347,7.32482340696555
YALI1_B18572g,1.20332698548557,7.3185728047306
YALI1_F06351g,-1.21101677795162,7.10227553711452
YALI1_B24351g,1.16993645846088,7.05673381011683
YALI1_A20995g,-2.02706821801007,6.85642279323345
YALI1_B05798g,1.07717121209213,6.79672427396568
YALI1_B14121g,-1.51059389900752,6.79672427396568
YALI1_E41367g,1.47104911981915,6.71311606823204
YALI1_F02309g,-1.15106222964418,6.71311606823204
YALI1_D23067g,-1.07129391594517,6.40718190670805
YALI1_D09566g,1.41954284716275,6.36688600758283
YALI1_E16556g,-1.42918969153682,6.25993210238635
YALI1_E41276g,-1.1524320514084,6.24286276683362
YALI1_F29395g,-1.791003188727,6.19794403045837
YALI1_E07347g,1.03196296789263,6.19612544800892
YALI1_E23610g,1.2520400624141,6.13113667389191
YALI1_C15964g,-1.00268635540119,5.28334888282446
YALI1_F14729g,-1.4364034476354,5.22156297360108
YALI1_F21875g,1.12026372420663,5.19248005325441
YALI1_F37508g,2.32282758129496,5.0806028670247
YALI1_F03136g,1.0361062146144,5.02820456170187
YALI1_F13875g,1.19288538678798,4.98888708526991
YALI1_A05459g,-1.10457386065763,4.82925400713372
YALI1_E12793g,1.0811927807449,4.69538238571166
YALI1_C14273g,-1.16434469717928,4.50404551578109
YALI1_C05088g,1.01702902533579,4.35651663123103
YALI1_C28310g,1.23596832178211,4.2862008425373
YALI1_D10458g,-1.28794555690327,4.16796615330008
YALI1_E14234g,-1.85914889576055,4.06182256746865
YALI1_E25267g,-1.00815442137592,4.03347574743959
YALI1_F27667g,-1.11790070018989,3.98187363157452
YALI1_D22834g,-1.03267789085582,3.91414732497559
YALI1_F01456g,1.69730898892479,3.75565962710954
YALI1_E38706g,1.07057019881065,3.71670852105185
YALI1_F34324g,1.21766656652219,3.64644346158004
YALI1_F06262g,-1.0338428059519,3.57956501049792
YALI1_F02545g,-1.34447236463332,3.53835472504069
YALI1_D30866g,-1.08626528072221,3.09678884149098
YALI1_C15297g,-1.28343425914973,3.08995051526181
YALI1_B14680g,1.14366556489932,3.04204233842836
YALI1_F00654g,1.05037049607933,2.8280617168459
YALI1_E29930g,1.01362289653389,2.73729306277406
YALI1_F31744g,1.06787430248862,2.62898754236584
YALI1_B21562g,-1.45356751157806,2.60381593771718
YALI1_E27625g,1.01033174097629,2.59779957900405
YALI1_D30196g,-1.19979333360834,2.43078096698819
YALI1_A17957g,1.31922238938584,2.39403535893818
YALI1_C30706g,-1.12205387080359,2.37315570701194
YALI1_E08828g,1.04969039594112,2.36829530061306
YALI1_F31531g,1.25189528031936,2.27243669093404
YALI1_F09996g,-1.22470399201788,2.0914849305586
YALI1_B16022g,1.01153335148991,2.07974438826158
YALI1_C09200g,-1.00082851436244,2.00728922289479
